"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5"
"Date/Time","Date/Time","above last glass","under first glass","black bottom","underside bottom","solar ins"
"","","°C","°C","°C","°C","W/m^2"
"2024-09-13 11:34:16","45548.4821296296","34.7","29.1","32.6","29.8","930.292"
"2024-09-13 11:34:17","45548.4821412037","34.9","29.2","33.0","30.1","931.495"
"2024-09-13 11:34:18","45548.4821527778","35.2","29.2","33.5","30.3","932.216"
"2024-09-13 11:34:19","45548.4821643519","35.4","29.2","33.7","30.5","931.254"
"2024-09-13 11:34:20","45548.4821759259","35.6","29.2","34.0","30.7","931.976"
"2024-09-13 11:34:21","45548.4821875000","35.8","29.2","34.4","30.8","932.457"
"2024-09-13 11:34:22","45548.4821990741","36.0","29.2","34.8","30.9","931.976"
"2024-09-13 11:34:23","45548.4822106482","36.4","29.2","35.2","31.0","932.457"
"2024-09-13 11:34:24","45548.4822222222","36.6","29.3","35.7","31.2","931.735"
"2024-09-13 11:34:25","45548.4822337963","36.9","29.3","36.1","31.2","931.254"
"2024-09-13 11:34:26","45548.4822453704","37.1","29.3","36.4","31.3","931.735"
"2024-09-13 11:34:27","45548.4822569444","37.4","29.3","36.8","31.3","931.735"
"2024-09-13 11:34:28","45548.4822685185","37.6","29.3","37.2","31.4","930.533"
"2024-09-13 11:34:29","45548.4822800926","38.0","29.3","37.6","31.4","930.052"
"2024-09-13 11:34:30","45548.4822916667","38.3","29.4","38.0","31.5","929.330"
"2024-09-13 11:34:31","45548.4823032407","38.5","29.4","38.4","31.5","931.735"
"2024-09-13 11:34:32","45548.4823148148","38.7","29.4","38.8","31.5","931.495"
"2024-09-13 11:34:33","45548.4823263889","38.9","29.4","39.1","31.6","931.735"
"2024-09-13 11:34:34","45548.4823379630","39.0","29.4","39.2","31.6","934.862"
"2024-09-13 11:34:35","45548.4823495370","39.0","29.5","39.1","31.7","933.178"
"2024-09-13 11:34:36","45548.4823611111","38.9","29.5","38.9","31.8","933.900"
"2024-09-13 11:34:37","45548.4823726852","38.8","29.5","38.7","31.8","933.419"
"2024-09-13 11:34:38","45548.4823842593","38.8","29.5","38.7","31.8","931.254"
"2024-09-13 11:34:39","45548.4823958333","39.0","29.5","38.8","31.9","929.330"
"2024-09-13 11:34:40","45548.4824074074","39.2","29.5","39.2","31.9","931.254"
"2024-09-13 11:34:41","45548.4824189815","39.3","29.6","39.5","32.1","930.533"
"2024-09-13 11:34:42","45548.4824305556","39.5","29.6","39.8","32.1","930.773"
"2024-09-13 11:34:43","45548.4824421296","39.7","29.6","40.1","32.1","929.571"
"2024-09-13 11:34:44","45548.4824537037","39.8","29.6","40.3","32.2","931.254"
"2024-09-13 11:34:45","45548.4824652778","39.8","29.6","40.6","32.2","931.495"
"2024-09-13 11:34:46","45548.4824768519","40.1","29.7","41.0","32.4","931.254"
"2024-09-13 11:34:47","45548.4824884259","40.2","29.7","41.2","32.4","930.773"
"2024-09-13 11:34:48","45548.4825000000","40.3","29.7","41.5","32.5","931.735"
"2024-09-13 11:34:49","45548.4825115741","40.5","29.7","41.7","32.5","931.495"
"2024-09-13 11:34:50","45548.4825231481","40.6","29.7","41.9","32.5","931.495"
"2024-09-13 11:34:51","45548.4825347222","40.6","29.7","42.1","32.5","936.064"
"2024-09-13 11:34:52","45548.4825462963","40.4","29.8","41.9","32.6","936.064"
"2024-09-13 11:34:53","45548.4825578704","40.5","29.8","41.7","32.6","934.381"
"2024-09-13 11:34:54","45548.4825694444","40.6","29.8","41.8","32.6","931.254"
"2024-09-13 11:34:55","45548.4825810185","40.7","29.9","42.0","32.6","931.735"
"2024-09-13 11:34:56","45548.4825925926","40.7","29.9","42.2","32.7","932.216"
"2024-09-13 11:34:57","45548.4826041667","40.7","30.0","42.5","32.8","932.216"
"2024-09-13 11:34:58","45548.4826157407","40.8","30.0","42.7","32.8","930.292"
